Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Sports Science Challenge,Sports Science Challenge 2017-18 Round 2,Fusion Sport Pty Ltd,Sumner Park,4074,," Brisbane Strikers 
 Australian Institute of Sport",Web Based Video Analysis Tool,Sumner,4074,n/a,3/04/2018,Brisbane (C),Ipswich,Mount Ommaney,85000
Sports Science Challenge,Sports Science Challenge 2016-17 Round 1,McBride Brown and Partners,Wavell Heights,4012,, Little Athletics Queensland,Interactive 3D Coaching App,Wavell Heights,4012,n/a,29/05/2017,Brisbane (C),Brisbane and Redlands,Nudgee,100000
Sports Science Challenge,Sports Science Challenge 2016-17 Round 1,Griffith University,Nathan,4111,, Cycling Queensland,Virtual Reality Track Cycling Simulator,Nathan,4111,n/a,29/05/2017,Brisbane (C),Brisbane and Redlands,Toohey,95175
Startup Catalyst,AQ Global Partnership Awards 2015-2016 Round 1,Startup Catalyst Pty Ltd,Fortitude Valley,4006,,,Startup Catalyst – Proposal for Expansion,Fortitude Valley,4006,"Silicon Valley, Israel, London, New York, Hong Kong and other global innovation hot spots",20/05/2016,Brisbane (C),Brisbane and Redlands,McConnel,494000
Startup Gladstone - EarlyPreneur Programme,Round 1,Start-up Gladstone Inc,Gladstone,4680,," Australia and New Zealand Banking Group 
 Bank of Queensland Gladstone 
 Australia Pacific LNG Pty Limited",EarlyPrenuer Program Support,Gladstone Central,4680,,15/12/2019,Gladstone (R),Central Queensland,Gladstone,60000
Startup Onramp Regional Program,,Spike Innovation Pty Ltd (as trustee for Kinner Family Trust) T/a Startup Onramp,Ashgrove,4060,,,StartUp Onramp Regional Program,,,Regional Queensland Locations,25/06/2018,Brisbane (C),Statewide,Ferny Grove,667000
States of Change,Round 1,NESTA,United Kingdom,,,Various international collaborations which Nesta is a partner to,States of Change,Brisbane City,4000,,26/02/2019,NonQueensland,Brisbane,NonQueensland,300000
Sunramp Accelerator Program,Round 1,Sunshine Coast Regional Council,Maroochydore,4558,,,SunRamp Accelerator Program Sunshine Coast,Maroochydore,4558,,8/07/2020,Sunshine Coast (R),Sunshine Coast,Maroochydore,180000
Testing Within Government,Round 3,Neighbourlytics,Fortitude Valley,4006,,,How Well Is Your Community Thriving,Fortitude Valley,4006,,20/08/2018,Brisbane (C),Brisbane,McConnel,35000
Testing Within Government,Round 3,C14 Ventures,Calamvale,4116,,,How Old Is This Fish,Calamvale,4116,,20/08/2018,Brisbane (C),Brisbane,Algester,35000
Testing Within Government,Round 3,Digital Craftsmen Solutions,Algester,4115,,,Find My Way,Algester,4115,,20/08/2018,Brisbane (C),Brisbane,Algester,35000
Testing Within Government,Round 3,HazardTech,Maroochydore,4558,,,Roadwork Safety Alert,Maroochydore,4558,,20/08/2018,Sunshine Coast (R),Sunshine Coast,Maroochydore,10500
Testing Within Government,Round 3,EconomX,Toowoomba,4350,,,Always Open,Toowoomba City,4350,,20/08/2018,Toowoomba (R),Darling Downs,Toowoomba North,35000
Therabubble,Round 1,Physiotherapy Innovations Pty Ltd,Cornubia,4130,,,Therabubble™ - Accelerated Research and Development for a Covid-19 Response,Cornubia,4130,,8/07/2020,Logan (C),Logan,Macalister,114309
Travello,Round 1,Travello Pty Ltd,Fortitude Valley,4006,,,Travello - Traveller Marketing & Data Insights Platform,Fortitude Valley,4006,,22/10/2019,Brisbane (C),Brisbane and Redlands,McConnel,300000
UQ - COVID-19 Vaccine,UQ - COVID-19 Vaccine,The University of Queensland,St Lucia,4067,,,Rapid Acceleration of the UQ COVID-19 Vaccine Program,St Lucia,4067,,16/04/2020,Brisbane (C),Brisbane and Redlands,Maiwar,10000000
WaterStart,Round 1,WaterStart Pty Ltd,Brisbane City,4000,,,WaterStart,Brisbane City,4000,,19/05/2020,Brisbane (C),Brisbane and Redlands,McConnel,500000
Yarrabah Business Accelerator Incubation Hub,Round 1,Gurriny Yealamucka (Good Healing) Health Services Aboriginal Corporation,Yarrabah,4871,,,Yarrabah Accelerator and Innovation Hub,Yarrabah,4871,,3/03/2020,Yarrabah (S),Far North Queensland,Mulgrave,300000
Young Starters' Competition,Round 1,"Grant Sampson
Recipient - Prize winner",Hope Island,4212,,,BragTag digital fishing app,,,,5/06/2017,Gold Coast (C),Gold Coast,Broadwater,30000
Young Starters' Competition,Round 1,"Robert Joseph
Recipient - Prize winner",Ormeau,4208,,,Anti,,,,5/06/2017,Gold Coast (C),Gold Coast,Coomera,15000
Young Starters' Competition,Round 2,"Micromelon Robotics (Team)
Recipient - Prize winner",Albany Creek,4035,,,Micromelon Robotics,,,,23/07/2018,Moreton Bay (R),Moreton Bay,Everton,15000
Young Starters' Competition,Round 2,"Thomas Stolberg
Recipient - Prize winner",Mackay,4740,,,Make it Now,,,,23/07/2018,Mackay (R),Mackay-Whitsunday,Mackay,30000
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 5,Tech Girls Movement Pty Ltd,Coopers Plains,4108,,,Queensland Search for the Next Tech Girl Superhero Showcase,Brisbane City,4000,,13/04/2017,Brisbane (C),Brisbane and Redlands,Toohey,20000
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 5,Queensland University of Technology,Brisbane City,4000,,,Startup Hatch 2017,Brisbane City,4000,,28/02/2017,Brisbane (C),Brisbane and Redlands,McConnel,17435
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 6,University of the Sunshine Coast,Sippy Downs,4556,,,Empowering Startup Founders 2017 through Experiential Entrepreneurship Education,Birtinya,4575,,24/04/2017,Sunshine Coast (R),Sunshine Coast,Buderim,16000
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 6,Redlynch State College,Redlynch,4870,,,Emerging Entrepreneurs - Turning Big Ideas into Reality,Redlynch,4870,,19/05/2017,Cairns (R),Far North Queensland,Barron River,11200
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 6,Brisbane State High School,South Brisbane,4101,,,Verge Young Entrepreneurs Program,Brisbane City,4000,"Brisbane State High School, MacGregor State High School and Kedron State High School",19/05/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,15402
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 5,Griffith University,Meadowbrook,4131,,,GLO@Logan High School Entrepreneurial Innovation Challenge,Meadowbrook,4131,Logan State high school STEM hub,28/08/2017,Logan (C),Logan,Waterford,10680
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 4,Townsville Region Indigenous Business Network,West End,4810,,,Academy for Young Entrepreneurs,Townsville City,4810,,27/09/2016,Townsville (C),Townsville,Townsville,15200
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 4,The Youth Development Foundation Limited,Brendale,4500,,,Academy for Young Entrepreneurs,Brendale,4500,,23/12/2016,Moreton Bay (R),Moreton Bay,Pine Rivers,7600
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 4,Alexander Spiros Bourne T/A UPAHUB,Mudgeeraba,4213,,,Campus Innovation Initiative,Southport,4215,,7/02/2017,Gold Coast (C),Gold Coast,Mudgeeraba,1096
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 5,Generation Innovation Ltd,Buderim,4556,,,The 2017 GI Challenge,Maroochydore,4558,,13/04/2017,Sunshine Coast (R),Sunshine Coast,Buderim,12240
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 5,Fifty Six Creations Pty Ltd - Mt Gravatt,Upper Mount Gravatt,4122,,,Fiftysix Education in Aurukun!,Aurukun,4892,,28/02/2017,Brisbane (C),Far North Queensland,Mansfield,18000
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 5,Creative Industries Precinct Pty Ltd,Kelvin Grove,4059,,,Startup Weekend Creative Tech 2017,Brisbane City,4000,,28/02/2017,Brisbane (C),Brisbane and Redlands,McConnel,9000
Young Starters' Fund,AQ Young Starters Fund Round 2017-18 Round 1,Central Queensland University,Cairns,4870,,,Big Fish Cairns,Cairns City,4870,,22/01/2018,Cairns (R),Far North Queensland,Cairns,11351
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 9,Startup STEAM Incorporated,Alexandra Headland,4572,,,Startup Weekend for Youth 2017,Maroochydore,4558,,28/08/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,11200
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 9,St John's Anglican College,Forest Lake,4078,,,Australian Conrad Spirit of Innovation Challenge,Forest Lake,4078,,28/08/2017,Brisbane (C),Ipswich,Inala,3000
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 8,Woree State High School,Woree,4868,,,Entrepreneurship and innovation with Makers Space aligning to STEM objectives,Woree,4868,,10/07/2017,Cairns (R),Far North Queensland,Mulgrave,15840
Young Starters' Fund,AQ Young Starters Fund Round 2017-18 Round 1,Gold Coast City Council,Bundall,4217,,,City Libraries Young Creatives Bootcamp,Helensvale,4212,,22/01/2018,Gold Coast (C),Gold Coast,Southport,13370
Young Starters' Fund,AQ Young Starters Fund Round 2017-18 Round 1,Fifty Six Creations Pty Ltd - Head Office,Brisbane City,4000,,,Fiftysix Creations x Advance Queensland in Burdekin!,Ayr,4807,,18/10/2017,Brisbane (C),Townsville,McConnel,15000
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 7,The Space Australasia Pty Ltd,Manunda,4870,,,Emerging Entrepreneurs School Holiday Program,Cairns City,4870,,19/05/2017,Cairns (R),Far North Queensland,Cairns,15680
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 7,Startup Mackay Inc,Mackay,4740,,,"Startup Weekend Youth, Mackay",Mackay,4740,,19/05/2017,Mackay (R),Mackay-Whitsunday,Mackay,8318
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 7,Berwin Ltd,Pialba,4655,,,Founderfest Fraser Coast,Hervey Bay,4655,,19/05/2017,Fraser Coast (R),Wide Bay,Hervey Bay,11033
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 9,Jubilee Christian College Limited,Atherton,4883,,,Empowering rural students to build local careers,Atherton,4883,,28/08/2017,Tablelands (R),Far North Queensland,Hill,15680
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 9,Creative Industries Precinct Pty Ltd,Kelvin Grove,4059,,,Creative³ Forum – Bursary Tickets,Brisbane City,4000,,28/08/2017,Brisbane (C),Brisbane and Redlands,McConnel,15000
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 8,Innovate Noosa Inc,Noosaville,4566,,,Pitch like a Pro: Elevator Pitch Series for Young People,Noosa Heads,4567,,10/07/2017,Noosa (S),Sunshine Coast,Noosa,5237
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 4,Marist Youth Care Limited,Paddington,4064,,,We can be Heroes startup workshops - YGSTRS-4254968-35,Brisbane City,4000,,8/04/2016,Brisbane (C),Brisbane and Redlands,Cooper,19270
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 3,Creative Industries Precinct Pty Ltd,Kelvin Grove,4059,,,Startup Weekend Brisbane / Creative Tech - YGSTRS-4447863-45,Brisbane City,4000,,1/04/2016,Brisbane (C),Brisbane and Redlands,McConnel,4085
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 3,Canvas Coworking Inc,Toowoomba City,4350,,,Founderfest 2016 - YGSTRS-4442023-44,Toowoomba City,4350,,1/04/2016,Toowoomba (R),Darling Downs,Toowoomba North,10247
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 4,University of the Sunshine Coast,Sippy Downs,4556,,,Empowering Young Entrepreneurs through Experiential Entrepreneurship - YGSTRS-4608703-52,Sippy Downs,4556,"Various locations across Sunshine Coast - Maroochydore, Sippy Downs, Woombye",8/04/2016,Sunshine Coast (R),Sunshine Coast,Buderim,20000
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 4,Tech Girls Movement Pty Ltd,Coopers Plains,4108,,,2016 Showcase for the Search for the Next Tech Girl Superhero - YGSTRS-4313758-41,Brisbane City,4000,,8/04/2016,Brisbane (C),Brisbane and Redlands,Toohey,20000
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 4,Palm Beach-Currumbin State High School,Palm Beach,4221,,,Entrepreneurial Education Program (EEP) - YGSTRS-4266928-39,Palm Beach,4221,Currumbin,8/04/2016,Gold Coast (C),Gold Coast,Burleigh,20000
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 2,Queensland University of Technology,Brisbane City,4000,,,Startup Hatch - Bringing ideas to reality in 30 days - YGSTRS-4055612-27,Brisbane City,4000,,20/03/2016,Brisbane (C),Brisbane and Redlands,McConnel,20000
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 1,Startup STEAM Inc,Alexandra Headland,4572,,,Startup Weekend for Youth (Sunshine Coast) 2016 - YGSTRS-3885095-10,Sippy Downs,4556,,18/02/2016,Sunshine Coast (R),Sunshine Coast,Maroochydore,7500
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 1,Fifty Six Creations Pty Ltd - Mt Gravatt,Upper Mount Gravatt,4122,,,Fiftysix Academy and Advance Queensland in Cairns!  - YGSTRS-3788258-4,Cairns City,4870,,18/02/2016,Brisbane (C),Far North Queensland,Mansfield,19500
Young Starters' Fund,AQ Young Starters Fund 2017-18 Round 2,"HInchinbrook Chamber of Commerce, Industry & Tourism Inc",Ingham,4850,,,emPOWERING regional YOUth - Entrepreneurs and Innovators of Tomorrow,Ingham,4850,,22/01/2018,Hinchinbrook (S),Townsville,Hinchinbrook,17636
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 2,Mountain Creek State High School,Mountain Creek,4557,,,Startup-ED - YGSTRS-3968944-17,Mountain Creek,4557,,20/03/2016,Sunshine Coast (R),Sunshine Coast,Buderim,20000
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 2,Generation Innovation Ltd,Buderim,4556,,,GI Challenge 2016 - YGSTRS-3987640-19,Maroochydore,4558,,20/03/2016,Sunshine Coast (R),Sunshine Coast,Buderim,16450
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 1,Time Masters (Australia) Pty Limited,Runaway Bay,4216,,,Open Your Eyes to Cash - YGSTRS-3764536-3,Logan Central,4114,,18/02/2016,Gold Coast (C),Logan,Broadwater,10800
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 2,Helensvale State High School,Helensvale,4212,,,Startup Apprentice Eight Week Accelerator Program,Helensvale,4212,,3/08/2016,Gold Coast (C),Gold Coast,Theodore,18500
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 2,Agapeflows Pty Ltd,Blackwater,4717,,,Academy for Young Entrepreneurs,Blackwater,4717,,3/08/2016,Central Highlands (R),Central Queensland,Gregory,9500
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 1,Upper Coomera  P-12 State College,Upper Coomera,4209,,,Startup Apprentice Eight Week Accelerator Program,Upper Coomera,4209,,28/07/2016,Gold Coast (C),Gold Coast,Theodore,15897
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 3,The Space Australasia Pty Ltd,Manunda,4870,,,FNQ Schools Startup Summit 2016,Smithfield,4878,,26/09/2016,Cairns (R),Far North Queensland,Cairns,3386
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 2,Queensland University of Technology,Brisbane City,4000,,,Disrupting Law,Brisbane City,4000,,3/08/2016,Brisbane (C),Brisbane and Redlands,McConnel,14000
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 2,Hope Centre Services,Bowen Hills,4006,,,Academy for Young Entrepreneurs,Banyo,4014,,3/08/2016,Brisbane (C),Brisbane and Redlands,McConnel,9500
Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 1,Southern Downs Regional Council,Warwick,4370,,,Southern Downs INCubate Twilight Startup Workshop,Warwick,4370,,28/07/2016,Southern Downs (R),Darling Downs,Southern Downs,5600
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 5,Kixstaart Indigenous Business Pty Ltd,Wurtulla,4575,,,Australia’s First Indigenous Startup Weekend - YGSTRS-5108012-71,South Brisbane,4101,,21/06/2016,Sunshine Coast (R),Brisbane and Redlands,Kawana,13500
Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 5,Griffith University,Southport,4215,,,Mentor Revolution – Get Started - YGSTRS-4924968-64,Southport,4215,University of Queensland - St Lucia,21/06/2016,Gold Coast (C),Gold Coast,Bonney,19226
